,date,time,action,protocol,src-ip,dist-ip,size,tcpflags,tcpsyn,tcpack,tcpwin,icmptype,icmpcode,path
52,2021-02-11,13:09:40,ALLOW,UDP,192.168.99.1,224.0.0.252,64410,5355,0,-,-,-,-,SEND
54,2021-02-11,13:09:51,ALLOW,UDP,192.168.56.1,224.0.0.252,51325,5355,0,-,-,-,-,SEND
56,2021-02-11,13:09:51,ALLOW,UDP,192.168.99.1,224.0.0.252,51325,5355,0,-,-,-,-,SEND
58,2021-02-11,13:09:51,ALLOW,UDP,192.168.56.1,224.0.0.252,54631,5355,0,-,-,-,-,SEND
60,2021-02-11,13:09:51,ALLOW,UDP,192.168.99.1,224.0.0.252,54631,5355,0,-,-,-,-,SEND
64,2021-02-11,13:10:06,ALLOW,UDP,192.168.56.1,224.0.0.252,51846,5355,0,-,-,-,-,SEND
66,2021-02-11,13:10:06,ALLOW,UDP,192.168.99.1,224.0.0.252,51846,5355,0,-,-,-,-,SEND
68,2021-02-11,13:10:06,ALLOW,UDP,192.168.56.1,224.0.0.252,50469,5355,0,-,-,-,-,SEND
70,2021-02-11,13:10:06,ALLOW,UDP,192.168.99.1,224.0.0.252,50469,5355,0,-,-,-,-,SEND
71,2021-02-11,13:10:06,ALLOW,UDP,192.168.56.1,239.255.255.250,57601,1900,0,-,-,-,-,SEND
72,2021-02-11,13:10:06,ALLOW,UDP,192.168.99.1,239.255.255.250,57602,1900,0,-,-,-,-,SEND
73,2021-02-11,13:10:06,ALLOW,UDP,127.0.0.1,239.255.255.250,57603,1900,0,-,-,-,-,SEND
74,2021-02-11,13:10:09,ALLOW,UDP,192.168.56.1,192.168.56.255,138,138,0,-,-,-,-,SEND
75,2021-02-11,13:10:09,ALLOW,UDP,192.168.99.1,192.168.99.255,138,138,0,-,-,-,-,SEND
77,2021-02-11,13:10:11,ALLOW,UDP,192.168.56.1,224.0.0.252,64639,5355,0,-,-,-,-,SEND
79,2021-02-11,13:10:11,ALLOW,UDP,192.168.99.1,224.0.0.252,64639,5355,0,-,-,-,-,SEND
81,2021-02-11,13:10:11,ALLOW,UDP,192.168.56.1,224.0.0.252,55047,5355,0,-,-,-,-,SEND
83,2021-02-11,13:10:11,ALLOW,UDP,192.168.99.1,224.0.0.252,55047,5355,0,-,-,-,-,SEND
86,2021-02-11,13:10:20,ALLOW,2,192.168.56.1,224.0.0.22,-,-,0,-,-,-,-,SEND
87,2021-02-11,13:10:20,ALLOW,2,192.168.99.1,224.0.0.22,-,-,0,-,-,-,-,SEND
91,2021-02-11,13:10:21,ALLOW,UDP,192.168.56.1,224.0.0.251,5353,5353,0,-,-,-,-,SEND
92,2021-02-11,13:10:21,ALLOW,UDP,192.168.56.1,224.0.0.251,5353,5353,0,-,-,-,-,RECEIVE
93,2021-02-11,13:10:21,ALLOW,UDP,192.168.99.1,224.0.0.251,5353,5353,0,-,-,-,-,SEND
94,2021-02-11,13:10:21,ALLOW,UDP,192.168.99.1,224.0.0.251,5353,5353,0,-,-,-,-,RECEIVE
101,2021-02-11,13:10:21,ALLOW,UDP,192.168.56.1,224.0.0.252,60779,5355,0,-,-,-,-,SEND
102,2021-02-11,13:10:21,ALLOW,UDP,192.168.56.1,224.0.0.252,63355,5355,0,-,-,-,-,SEND
105,2021-02-11,13:10:21,ALLOW,UDP,192.168.99.1,224.0.0.252,60779,5355,0,-,-,-,-,SEND
106,2021-02-11,13:10:21,ALLOW,UDP,192.168.99.1,224.0.0.252,63355,5355,0,-,-,-,-,SEND
108,2021-02-11,13:10:21,ALLOW,UDP,192.168.56.1,224.0.0.252,52563,5355,0,-,-,-,-,SEND
110,2021-02-11,13:10:21,ALLOW,UDP,192.168.99.1,224.0.0.252,52563,5355,0,-,-,-,-,SEND
111,2021-02-11,13:10:21,ALLOW,UDP,127.0.0.1,239.255.255.250,55049,1900,0,-,-,-,-,SEND
112,2021-02-11,13:10:21,ALLOW,UDP,127.0.0.1,239.255.255.250,55049,1900,0,-,-,-,-,RECEIVE
115,2021-02-11,13:10:22,ALLOW,UDP,192.168.56.1,224.0.0.251,5353,5353,0,-,-,-,-,SEND
116,2021-02-11,13:10:22,ALLOW,UDP,192.168.56.1,224.0.0.251,5353,5353,0,-,-,-,-,RECEIVE
117,2021-02-11,13:10:22,ALLOW,UDP,192.168.99.1,224.0.0.251,5353,5353,0,-,-,-,-,SEND
118,2021-02-11,13:10:22,ALLOW,UDP,192.168.99.1,224.0.0.251,5353,5353,0,-,-,-,-,RECEIVE
124,2021-02-11,13:10:22,ALLOW,UDP,192.168.56.1,224.0.0.252,57712,5355,0,-,-,-,-,SEND
126,2021-02-11,13:10:22,ALLOW,UDP,192.168.99.1,224.0.0.252,57712,5355,0,-,-,-,-,SEND
129,2021-02-11,13:10:23,ALLOW,UDP,192.168.56.1,224.0.0.252,53912,5355,0,-,-,-,-,SEND
131,2021-02-11,13:10:23,ALLOW,UDP,192.168.99.1,224.0.0.252,53912,5355,0,-,-,-,-,SEND
136,2021-02-11,13:10:23,ALLOW,UDP,192.168.56.1,224.0.0.252,61601,5355,0,-,-,-,-,SEND
138,2021-02-11,13:10:23,ALLOW,UDP,192.168.99.1,224.0.0.252,61601,5355,0,-,-,-,-,SEND
143,2021-02-11,13:50:18,ALLOW,2,192.168.56.1,224.0.0.22,-,-,0,-,-,-,-,SEND
144,2021-02-11,13:50:18,ALLOW,2,192.168.99.1,224.0.0.22,-,-,0,-,-,-,-,SEND
151,2021-02-11,13:50:18,ALLOW,UDP,127.0.0.1,239.255.255.250,55049,1900,0,-,-,-,-,SEND
152,2021-02-11,13:50:18,ALLOW,UDP,127.0.0.1,239.255.255.250,55049,1900,0,-,-,-,-,RECEIVE
163,2021-02-11,13:50:19,ALLOW,UDP,127.0.0.1,239.255.255.250,61607,1900,0,-,-,-,-,SEND
164,2021-02-11,13:50:19,ALLOW,UDP,127.0.0.1,239.255.255.250,61607,1900,0,-,-,-,-,RECEIVE
168,2021-02-11,13:50:19,ALLOW,UDP,192.168.56.1,224.0.0.252,50118,5355,0,-,-,-,-,SEND
170,2021-02-11,13:50:19,ALLOW,UDP,192.168.99.1,224.0.0.252,50118,5355,0,-,-,-,-,SEND
172,2021-02-11,13:50:19,ALLOW,UDP,192.168.56.1,224.0.0.252,56706,5355,0,-,-,-,-,SEND
174,2021-02-11,13:50:19,ALLOW,UDP,192.168.99.1,224.0.0.252,56706,5355,0,-,-,-,-,SEND
177,2021-02-11,13:50:19,ALLOW,UDP,192.168.56.1,224.0.0.251,5353,5353,0,-,-,-,-,SEND
178,2021-02-11,13:50:19,ALLOW,UDP,192.168.56.1,224.0.0.251,5353,5353,0,-,-,-,-,RECEIVE
179,2021-02-11,13:50:19,ALLOW,UDP,192.168.99.1,224.0.0.251,5353,5353,0,-,-,-,-,SEND
180,2021-02-11,13:50:19,ALLOW,UDP,192.168.99.1,224.0.0.251,5353,5353,0,-,-,-,-,RECEIVE
186,2021-02-11,13:50:19,ALLOW,UDP,192.168.56.1,224.0.0.252,52035,5355,0,-,-,-,-,SEND
188,2021-02-11,13:50:19,ALLOW,UDP,192.168.99.1,224.0.0.252,52035,5355,0,-,-,-,-,SEND
189,2021-02-11,13:50:19,ALLOW,UDP,127.0.0.1,127.0.0.1,57613,9999,0,-,-,-,-,SEND
190,2021-02-11,13:50:20,ALLOW,UDP,192.168.56.1,224.0.0.251,5353,5353,0,-,-,-,-,SEND
191,2021-02-11,13:50:20,ALLOW,UDP,192.168.56.1,224.0.0.251,5353,5353,0,-,-,-,-,RECEIVE
192,2021-02-11,13:50:20,ALLOW,UDP,192.168.99.1,224.0.0.251,5353,5353,0,-,-,-,-,SEND
193,2021-02-11,13:50:20,ALLOW,UDP,192.168.99.1,224.0.0.251,5353,5353,0,-,-,-,-,RECEIVE
199,2021-02-11,13:50:20,ALLOW,UDP,192.168.56.1,224.0.0.252,60374,5355,0,-,-,-,-,SEND
201,2021-02-11,13:50:20,ALLOW,UDP,192.168.99.1,224.0.0.252,60374,5355,0,-,-,-,-,SEND
203,2021-02-11,13:50:21,ALLOW,UDP,192.168.56.1,224.0.0.251,5353,5353,0,-,-,-,-,SEND
204,2021-02-11,13:50:21,ALLOW,UDP,192.168.56.1,224.0.0.251,5353,5353,0,-,-,-,-,RECEIVE
205,2021-02-11,13:50:21,ALLOW,UDP,192.168.99.1,224.0.0.251,5353,5353,0,-,-,-,-,SEND
206,2021-02-11,13:50:21,ALLOW,UDP,192.168.99.1,224.0.0.251,5353,5353,0,-,-,-,-,RECEIVE
212,2021-02-11,13:50:21,ALLOW,UDP,192.168.56.1,224.0.0.252,64442,5355,0,-,-,-,-,SEND
214,2021-02-11,13:50:21,ALLOW,UDP,192.168.99.1,224.0.0.252,64442,5355,0,-,-,-,-,SEND
215,2021-02-11,13:50:21,ALLOW,UDP,192.168.56.1,239.255.255.250,60378,1900,0,-,-,-,-,SEND
216,2021-02-11,13:50:21,ALLOW,UDP,192.168.99.1,239.255.255.250,60379,1900,0,-,-,-,-,SEND
217,2021-02-11,13:50:21,ALLOW,UDP,127.0.0.1,239.255.255.250,60380,1900,0,-,-,-,-,SEND
218,2021-02-11,13:50:21,ALLOW,UDP,192.168.56.1,192.168.56.255,137,137,0,-,-,-,-,SEND
219,2021-02-11,13:50:21,ALLOW,UDP,192.168.56.1,192.168.56.255,137,137,0,-,-,-,-,RECEIVE
220,2021-02-11,13:50:22,ALLOW,UDP,192.168.56.1,224.0.0.251,5353,5353,0,-,-,-,-,SEND
221,2021-02-11,13:50:22,ALLOW,UDP,192.168.56.1,224.0.0.251,5353,5353,0,-,-,-,-,RECEIVE
222,2021-02-11,13:50:22,ALLOW,UDP,192.168.99.1,224.0.0.251,5353,5353,0,-,-,-,-,SEND
223,2021-02-11,13:50:22,ALLOW,UDP,192.168.99.1,224.0.0.251,5353,5353,0,-,-,-,-,RECEIVE
229,2021-02-11,13:50:22,ALLOW,UDP,192.168.56.1,224.0.0.252,58632,5355,0,-,-,-,-,SEND
231,2021-02-11,13:50:22,ALLOW,UDP,192.168.99.1,224.0.0.252,58632,5355,0,-,-,-,-,SEND
232,2021-02-11,13:50:24,ALLOW,UDP,192.168.99.1,192.168.99.255,137,137,0,-,-,-,-,SEND
233,2021-02-11,13:50:24,ALLOW,UDP,192.168.99.1,192.168.99.255,137,137,0,-,-,-,-,RECEIVE
237,2021-02-11,13:50:31,ALLOW,TCP,127.0.0.1,127.0.0.1,49923,9487,0,-,0,0,0,SEND
238,2021-02-11,13:50:31,ALLOW,TCP,127.0.0.1,127.0.0.1,49923,9487,0,-,0,0,0,RECEIVE
240,2021-02-11,13:50:45,ALLOW,UDP,192.168.56.1,224.0.0.252,64608,5355,0,-,-,-,-,SEND
242,2021-02-11,13:50:45,ALLOW,UDP,192.168.99.1,224.0.0.252,64608,5355,0,-,-,-,-,SEND
244,2021-02-11,13:50:45,ALLOW,UDP,192.168.56.1,224.0.0.252,55098,5355,0,-,-,-,-,SEND
246,2021-02-11,13:50:45,ALLOW,UDP,192.168.99.1,224.0.0.252,55098,5355,0,-,-,-,-,SEND
248,2021-02-11,13:50:47,ALLOW,UDP,192.168.56.1,224.0.0.252,64628,5355,0,-,-,-,-,SEND
250,2021-02-11,13:50:47,ALLOW,UDP,192.168.99.1,224.0.0.252,64628,5355,0,-,-,-,-,SEND
252,2021-02-11,13:50:47,ALLOW,UDP,192.168.56.1,224.0.0.252,58095,5355,0,-,-,-,-,SEND
254,2021-02-11,13:50:47,ALLOW,UDP,192.168.99.1,224.0.0.252,58095,5355,0,-,-,-,-,SEND
257,2021-02-11,13:50:50,ALLOW,UDP,192.168.56.1,224.0.0.252,56048,5355,0,-,-,-,-,SEND
259,2021-02-11,13:50:50,ALLOW,UDP,192.168.99.1,224.0.0.252,56048,5355,0,-,-,-,-,SEND
261,2021-02-11,13:50:50,ALLOW,UDP,192.168.56.1,224.0.0.252,53721,5355,0,-,-,-,-,SEND
263,2021-02-11,13:50:50,ALLOW,UDP,192.168.99.1,224.0.0.252,53721,5355,0,-,-,-,-,SEND
265,2021-02-11,13:50:56,ALLOW,UDP,192.168.56.1,224.0.0.252,55079,5355,0,-,-,-,-,SEND
267,2021-02-11,13:50:56,ALLOW,UDP,192.168.99.1,224.0.0.252,55079,5355,0,-,-,-,-,SEND
269,2021-02-11,13:50:56,ALLOW,UDP,192.168.56.1,224.0.0.252,64712,5355,0,-,-,-,-,SEND
271,2021-02-11,13:50:56,ALLOW,UDP,192.168.99.1,224.0.0.252,64712,5355,0,-,-,-,-,SEND
273,2021-02-11,13:51:05,ALLOW,UDP,192.168.56.1,224.0.0.252,61777,5355,0,-,-,-,-,SEND
275,2021-02-11,13:51:05,ALLOW,UDP,192.168.99.1,224.0.0.252,61777,5355,0,-,-,-,-,SEND
277,2021-02-11,13:51:05,ALLOW,UDP,192.168.56.1,224.0.0.252,62607,5355,0,-,-,-,-,SEND
279,2021-02-11,13:51:05,ALLOW,UDP,192.168.99.1,224.0.0.252,62607,5355,0,-,-,-,-,SEND
281,2021-02-11,13:51:06,ALLOW,UDP,192.168.56.1,224.0.0.252,58845,5355,0,-,-,-,-,SEND
283,2021-02-11,13:51:06,ALLOW,UDP,192.168.99.1,224.0.0.252,58845,5355,0,-,-,-,-,SEND
285,2021-02-11,13:51:06,ALLOW,UDP,192.168.56.1,224.0.0.252,62579,5355,0,-,-,-,-,SEND
287,2021-02-11,13:51:06,ALLOW,UDP,192.168.99.1,224.0.0.252,62579,5355,0,-,-,-,-,SEND
289,2021-02-11,13:51:11,ALLOW,UDP,192.168.56.1,224.0.0.252,50409,5355,0,-,-,-,-,SEND
291,2021-02-11,13:51:11,ALLOW,UDP,192.168.99.1,224.0.0.252,50409,5355,0,-,-,-,-,SEND
293,2021-02-11,13:51:11,ALLOW,UDP,192.168.56.1,224.0.0.252,50655,5355,0,-,-,-,-,SEND
295,2021-02-11,13:51:11,ALLOW,UDP,192.168.99.1,224.0.0.252,50655,5355,0,-,-,-,-,SEND
296,2021-02-11,13:51:13,ALLOW,UDP,0.0.0.0,255.255.255.255,68,67,0,-,-,-,-,SEND
297,2021-02-11,13:51:13,ALLOW,UDP,0.0.0.0,255.255.255.255,68,67,0,-,-,-,-,RECEIVE
300,2021-02-11,13:51:14,ALLOW,2,192.168.1.166,224.0.0.22,-,-,0,-,-,-,-,SEND
302,2021-02-11,13:51:14,ALLOW,UDP,192.168.1.166,192.168.1.255,137,137,0,-,-,-,-,SEND
303,2021-02-11,13:51:14,ALLOW,UDP,192.168.1.166,192.168.1.255,137,137,0,-,-,-,-,RECEIVE
304,2021-02-11,13:51:14,ALLOW,UDP,192.168.1.166,192.168.1.255,137,137,0,-,-,-,-,RECEIVE
305,2021-02-11,13:51:14,ALLOW,UDP,192.168.1.166,192.168.1.1,58048,53,0,-,-,-,-,SEND
306,2021-02-11,13:51:14,ALLOW,UDP,192.168.1.166,192.168.1.1,58048,53,0,-,-,-,-,RECEIVE
307,2021-02-11,13:51:14,ALLOW,UDP,192.168.1.166,192.168.1.1,51947,53,0,-,-,-,-,SEND
308,2021-02-11,13:51:14,ALLOW,UDP,192.168.1.166,192.168.1.1,51947,53,0,-,-,-,-,RECEIVE
309,2021-02-11,13:51:14,ALLOW,UDP,192.168.56.1,224.0.0.251,5353,5353,0,-,-,-,-,SEND
310,2021-02-11,13:51:14,ALLOW,UDP,192.168.56.1,224.0.0.251,5353,5353,0,-,-,-,-,RECEIVE
311,2021-02-11,13:51:14,ALLOW,UDP,192.168.99.1,224.0.0.251,5353,5353,0,-,-,-,-,SEND
312,2021-02-11,13:51:14,ALLOW,UDP,192.168.99.1,224.0.0.251,5353,5353,0,-,-,-,-,RECEIVE
313,2021-02-11,13:51:14,ALLOW,UDP,192.168.1.166,224.0.0.251,5353,5353,0,-,-,-,-,SEND
314,2021-02-11,13:51:14,ALLOW,UDP,192.168.1.166,224.0.0.251,5353,5353,0,-,-,-,-,RECEIVE
315,2021-02-11,13:51:14,ALLOW,UDP,192.168.1.166,224.0.0.251,5353,5353,0,-,-,-,-,RECEIVE
323,2021-02-11,13:51:14,ALLOW,UDP,192.168.1.166,224.0.0.252,58502,5355,0,-,-,-,-,SEND
324,2021-02-11,13:51:14,ALLOW,UDP,192.168.1.166,224.0.0.252,58502,5355,0,-,-,-,-,RECEIVE
326,2021-02-11,13:51:14,ALLOW,UDP,192.168.1.166,224.0.0.252,55680,5355,0,-,-,-,-,SEND
328,2021-02-11,13:51:14,ALLOW,UDP,192.168.1.166,224.0.0.252,51262,5355,0,-,-,-,-,SEND
331,2021-02-11,13:51:14,ALLOW,UDP,192.168.1.166,192.168.1.1,65191,53,0,-,-,-,-,SEND
332,2021-02-11,13:51:14,ALLOW,UDP,192.168.1.166,192.168.1.1,65191,53,0,-,-,-,-,RECEIVE
333,2021-02-11,13:51:14,ALLOW,TCP,192.168.1.166,23.217.53.16,50166,80,0,-,0,0,0,SEND
334,2021-02-11,13:51:14,ALLOW,UDP,192.168.1.166,192.168.1.1,58797,53,0,-,-,-,-,SEND
335,2021-02-11,13:51:14,ALLOW,UDP,192.168.1.166,192.168.1.1,58797,53,0,-,-,-,-,RECEIVE
336,2021-02-11,13:51:14,ALLOW,TCP,192.168.1.166,23.217.53.16,50171,80,0,-,0,0,0,SEND
337,2021-02-11,13:51:14,ALLOW,UDP,192.168.56.1,239.255.255.250,50660,1900,0,-,-,-,-,SEND
338,2021-02-11,13:51:14,ALLOW,UDP,192.168.99.1,239.255.255.250,50661,1900,0,-,-,-,-,SEND
339,2021-02-11,13:51:14,ALLOW,UDP,127.0.0.1,239.255.255.250,50662,1900,0,-,-,-,-,SEND
340,2021-02-11,13:51:14,ALLOW,UDP,127.0.0.1,239.255.255.250,50662,1900,0,-,-,-,-,RECEIVE
341,2021-02-11,13:51:14,ALLOW,UDP,192.168.1.166,239.255.255.250,50663,1900,0,-,-,-,-,SEND
342,2021-02-11,13:51:14,ALLOW,UDP,192.168.1.166,239.255.255.250,50663,1900,0,-,-,-,-,RECEIVE
348,2021-02-11,13:51:14,ALLOW,TCP,192.168.1.166,52.139.172.218,50172,443,0,-,0,0,0,SEND
349,2021-02-11,13:51:14,ALLOW,TCP,192.168.1.166,192.168.1.1,50173,5500,0,-,0,0,0,SEND
350,2021-02-11,13:51:14,ALLOW,TCP,192.168.1.166,173.201.192.129,50167,993,0,-,0,0,0,SEND
351,2021-02-11,13:51:14,ALLOW,TCP,192.168.1.166,173.201.192.129,50170,993,0,-,0,0,0,SEND
352,2021-02-11,13:51:14,ALLOW,TCP,192.168.1.166,173.201.192.129,50168,993,0,-,0,0,0,SEND
353,2021-02-11,13:51:14,ALLOW,TCP,192.168.1.166,173.201.192.129,50169,993,0,-,0,0,0,SEND
354,2021-02-11,13:51:14,ALLOW,UDP,192.168.1.1,192.168.1.166,67,68,0,-,-,-,-,RECEIVE
356,2021-02-11,13:51:14,ALLOW,UDP,192.168.56.1,224.0.0.252,58502,5355,0,-,-,-,-,SEND
358,2021-02-11,13:51:14,ALLOW,UDP,192.168.99.1,224.0.0.252,58502,5355,0,-,-,-,-,SEND
360,2021-02-11,13:51:14,ALLOW,UDP,192.168.56.1,224.0.0.252,55680,5355,0,-,-,-,-,SEND
362,2021-02-11,13:51:14,ALLOW,UDP,192.168.99.1,224.0.0.252,55680,5355,0,-,-,-,-,SEND
363,2021-02-11,13:51:14,ALLOW,UDP,192.168.1.166,192.168.1.1,59798,53,0,-,-,-,-,SEND
364,2021-02-11,13:51:14,ALLOW,TCP,192.168.1.166,13.107.4.52,50174,80,0,-,0,0,0,SEND
365,2021-02-11,13:51:14,ALLOW,UDP,192.168.1.166,192.168.1.1,62654,53,0,-,-,-,-,SEND
366,2021-02-11,13:51:14,ALLOW,TCP,192.168.1.166,40.126.18.35,50175,443,0,-,0,0,0,SEND
367,2021-02-11,13:51:14,ALLOW,TCP,192.168.1.166,40.126.18.35,50176,443,0,-,0,0,0,SEND
368,2021-02-11,13:51:14,ALLOW,TCP,192.168.1.166,23.217.53.16,50177,80,0,-,0,0,0,SEND
369,2021-02-11,13:51:14,ALLOW,TCP,192.168.1.166,23.217.53.16,50179,80,0,-,0,0,0,SEND
370,2021-02-11,13:51:14,ALLOW,UDP,192.168.1.166,192.168.1.1,59760,53,0,-,-,-,-,SEND
371,2021-02-11,13:51:14,ALLOW,UDP,192.168.1.166,192.168.1.1,52515,53,0,-,-,-,-,SEND
372,2021-02-11,13:51:14,ALLOW,UDP,192.168.1.166,192.168.1.1,57591,53,0,-,-,-,-,SEND
373,2021-02-11,13:51:14,ALLOW,TCP,192.168.1.166,23.221.54.249,50183,443,0,-,0,0,0,SEND
374,2021-02-11,13:51:15,ALLOW,TCP,192.168.1.166,52.221.177.230,50181,443,0,-,0,0,0,SEND
375,2021-02-11,13:51:15,ALLOW,TCP,192.168.1.166,52.221.177.230,50180,443,0,-,0,0,0,SEND
376,2021-02-11,13:51:15,ALLOW,TCP,192.168.1.166,18.158.0.228,50182,443,0,-,0,0,0,SEND
378,2021-02-11,13:51:15,ALLOW,UDP,192.168.56.1,224.0.0.251,5353,5353,0,-,-,-,-,SEND
379,2021-02-11,13:51:15,ALLOW,UDP,192.168.56.1,224.0.0.251,5353,5353,0,-,-,-,-,RECEIVE
380,2021-02-11,13:51:15,ALLOW,UDP,192.168.99.1,224.0.0.251,5353,5353,0,-,-,-,-,SEND
381,2021-02-11,13:51:15,ALLOW,UDP,192.168.99.1,224.0.0.251,5353,5353,0,-,-,-,-,RECEIVE
382,2021-02-11,13:51:15,ALLOW,UDP,192.168.1.166,224.0.0.251,5353,5353,0,-,-,-,-,SEND
383,2021-02-11,13:51:15,ALLOW,UDP,192.168.1.166,224.0.0.251,5353,5353,0,-,-,-,-,RECEIVE
391,2021-02-11,13:51:15,ALLOW,UDP,192.168.1.166,224.0.0.252,58308,5355,0,-,-,-,-,SEND
392,2021-02-11,13:51:15,ALLOW,TCP,192.168.1.166,23.217.53.16,50184,80,0,-,0,0,0,SEND
393,2021-02-11,13:51:15,ALLOW,UDP,192.168.1.166,192.168.1.1,53829,53,0,-,-,-,-,SEND
394,2021-02-11,13:51:15,ALLOW,UDP,192.168.1.166,192.168.1.1,59383,53,0,-,-,-,-,SEND
395,2021-02-11,13:51:15,ALLOW,UDP,192.168.1.166,192.168.1.1,50553,53,0,-,-,-,-,SEND
396,2021-02-11,13:51:15,ALLOW,UDP,192.168.1.166,192.168.1.1,49737,53,0,-,-,-,-,SEND
398,2021-02-11,13:51:16,ALLOW,UDP,192.168.1.166,224.0.0.252,55737,5355,0,-,-,-,-,SEND
400,2021-02-11,13:51:16,ALLOW,UDP,192.168.56.1,224.0.0.252,55737,5355,0,-,-,-,-,SEND
402,2021-02-11,13:51:16,ALLOW,UDP,192.168.99.1,224.0.0.252,55737,5355,0,-,-,-,-,SEND
404,2021-02-11,13:51:16,ALLOW,UDP,192.168.1.166,224.0.0.252,60281,5355,0,-,-,-,-,SEND
406,2021-02-11,13:51:16,ALLOW,UDP,192.168.1.166,224.0.0.252,59940,5355,0,-,-,-,-,SEND
407,2021-02-11,13:51:17,ALLOW,UDP,192.168.1.166,192.168.1.1,58364,53,0,-,-,-,-,SEND
409,2021-02-11,13:51:17,ALLOW,UDP,192.168.1.166,224.0.0.252,51619,5355,0,-,-,-,-,SEND
412,2021-02-11,13:51:17,ALLOW,UDP,192.168.56.1,224.0.0.252,59940,5355,0,-,-,-,-,SEND
413,2021-02-11,13:51:17,ALLOW,UDP,192.168.56.1,224.0.0.252,60281,5355,0,-,-,-,-,SEND
416,2021-02-11,13:51:17,ALLOW,UDP,192.168.99.1,224.0.0.252,59940,5355,0,-,-,-,-,SEND
417,2021-02-11,13:51:17,ALLOW,UDP,192.168.99.1,224.0.0.252,60281,5355,0,-,-,-,-,SEND
